Date,Product,Category,Region,Quantity,Sales,Profit
2026-02-12 04:13:03.263598326,Smartphone,Electronics,South,4,119732.36,16762.53
2026-02-12 22:17:34.393305439,Mouse,Accessories,East,2,1788.55,804.85
2026-02-13 16:22:05.523012552,Monitor,Electronics,East,2,23029.84,5066.56
2026-02-14 10:26:36.652719665,Keyboard,Accessories,South,6,9560.02,4015.21
2026-02-15 04:31:07.782426778,Headphones,Accessories,East,6,16426.18,6241.95
2026-02-15 22:35:38.912133891,Laptop,Electronics,East,3,176681.34,28269.02
2026-02-16 16:40:10.041841004,Keyboard,Accessories,North,5,8527.46,3581.54
2026-02-17 10:44:41.171548117,Keyboard,Accessories,East,6,11496.33,4828.46
2026-02-18 04:49:12.301255230,Smartphone,Electronics,West,1,32995.29,4619.34
2026-02-18 22:53:43.430962343,Smartphone,Electronics,North,2,60789.88,8510.58
2026-02-19 16:58:14.560669456,Keyboard,Accessories,South,3,5827.41,2447.51
2026-02-20 11:02:45.690376569,Monitor,Electronics,South,7,93130.45,20488.7
2026-02-21 05:07:16.820083682,Keyboard,Accessories,West,3,5419.51,2276.2
2026-02-21 23:11:47.949790795,Smartphone,Electronics,West,7,193096.23,27033.47
2026-02-22 17:16:19.079497908,Keyboard,Accessories,West,1,1771.96,744.22
2026-02-23 11:20:50.209205021,Mouse,Accessories,West,2,1907.4,858.33
2026-02-24 05:25:21.338912134,Mouse,Accessories,North,7,6894.89,3102.7
2026-02-24 23:29:52.468619247,Keyboard,Accessories,South,4,7670.04,3221.42
2026-02-25 17:34:23.598326360,Headphones,Accessories,West,5,12120.97,4605.97
2026-02-26 11:38:54.728033473,Laptop,Electronics,East,6,367766.3,58842.61
2026-02-27 05:43:25.857740586,Laptop,Electronics,North,7,426713.99,68274.24
2026-02-27 23:47:56.987447699,Laptop,Electronics,West,1,59591.24,9534.6
2026-02-28 17:52:28.117154812,Monitor,Electronics,East,2,24572.44,5405.94
2026-03-01 11:56:59.246861925,Mouse,Accessories,North,1,859.03,386.56
2026-03-02 06:01:30.376569038,Mouse,Accessories,South,6,6011.49,2705.17
2026-03-03 00:06:01.506276150,Keyboard,Accessories,North,4,6360.08,2671.23
2026-03-03 18:10:32.635983263,Smartphone,Electronics,North,2,54698.24,7657.75
2026-03-04 12:15:03.765690376,Monitor,Electronics,North,7,84127.61,18508.07
2026-03-05 06:19:34.895397489,Mouse,Accessories,South,5,4587.61,2064.42
2026-03-06 00:24:06.025104602,Smartphone,Electronics,West,7,220856.52,30919.91
2026-03-06 18:28:37.154811715,Laptop,Electronics,South,6,355467.01,56874.72
2026-03-07 12:33:08.284518828,Laptop,Electronics,West,4,253608.88,40577.42
2026-03-08 06:37:39.414225941,Mouse,Accessories,East,3,2692.6,1211.67
2026-03-09 00:42:10.543933054,Keyboard,Accessories,West,3,5123.23,2151.76
2026-03-09 18:46:41.673640167,Mouse,Accessories,East,7,5581.59,2511.71
2026-03-10 12:51:12.803347280,Keyboard,Accessories,East,2,3259.5,1368.99
2026-03-11 06:55:43.933054393,Monitor,Electronics,North,1,11767.05,2588.75
2026-03-12 01:00:15.062761506,Mouse,Accessories,East,2,1987.07,894.18
2026-03-12 19:04:46.192468619,Monitor,Electronics,East,6,71436.35,15716.0
2026-03-13 13:09:17.322175732,Monitor,Electronics,North,6,65246.01,14354.12
2026-03-14 07:13:48.451882845,Smartphone,Electronics,South,6,192822.5,26995.15
2026-03-15 01:18:19.581589958,Smartphone,Electronics,East,3,92289.94,12920.59
2026-03-15 19:22:50.711297071,Mouse,Accessories,South,7,6455.9,2905.15
2026-03-16 13:27:21.841004184,Headphones,Accessories,South,1,2455.53,933.1
2026-03-17 07:31:52.970711297,Laptop,Electronics,South,5,353664.27,56586.28
2026-03-18 01:36:24.100418410,Headphones,Accessories,North,4,9367.99,3559.84
2026-03-18 19:40:55.230125523,Mouse,Accessories,West,6,5810.27,2614.62
2026-03-19 13:45:26.359832636,Laptop,Electronics,North,7,465312.16,74449.94
2026-03-20 07:49:57.489539749,Headphones,Accessories,South,2,5389.6,2048.05
2026-03-21 01:54:28.619246862,Smartphone,Electronics,North,7,231216.91,32370.37
2026-03-21 19:58:59.748953975,Keyboard,Accessories,East,2,3414.0,1433.88
2026-03-22 14:03:30.878661088,Laptop,Electronics,North,4,230119.64,36819.14
2026-03-23 08:08:02.008368201,Monitor,Electronics,West,1,11062.97,2433.85
2026-03-24 02:12:33.138075314,Laptop,Electronics,East,4,271276.59,43404.25
2026-03-24 20:17:04.267782427,Monitor,Electronics,West,3,34427.44,7574.04
2026-03-25 14:21:35.397489540,Keyboard,Accessories,West,6,11710.13,4918.26
2026-03-26 08:26:06.527196652,Keyboard,Accessories,West,1,1662.41,698.21
2026-03-27 02:30:37.656903765,Smartphone,Electronics,North,2,61025.75,8543.61
2026-03-27 20:35:08.786610878,Mouse,Accessories,North,3,2407.92,1083.56
2026-03-28 14:39:39.916317991,Headphones,Accessories,East,7,15827.02,6014.27
2026-03-29 08:44:11.046025104,Laptop,Electronics,South,6,348063.63,55690.18
2026-03-30 02:48:42.175732217,Mouse,Accessories,North,5,4871.06,2191.98
2026-03-30 20:53:13.305439330,Monitor,Electronics,South,7,93668.14,20606.99
2026-03-31 14:57:44.435146443,Monitor,Electronics,West,5,62051.76,13651.39
2026-04-01 09:02:15.564853556,Keyboard,Accessories,West,6,9852.76,4138.16
2026-04-02 03:06:46.694560669,Keyboard,Accessories,East,3,5863.41,2462.63
2026-04-02 21:11:17.824267782,Mouse,Accessories,East,4,3500.72,1575.32
2026-04-03 15:15:48.953974895,Keyboard,Accessories,South,2,3288.76,1381.28
2026-04-04 09:20:20.083682008,Headphones,Accessories,East,4,9800.53,3724.2
2026-04-05 03:24:51.213389121,Smartphone,Electronics,South,3,87114.08,12195.97
2026-04-05 21:29:22.343096234,Monitor,Electronics,North,3,34958.57,7690.89
2026-04-06 15:33:53.472803347,Monitor,Electronics,South,2,26585.42,5848.79
2026-04-07 09:38:24.602510460,Monitor,Electronics,West,7,83615.15,18395.33
2026-04-08 03:42:55.732217573,Smartphone,Electronics,East,4,130038.54,18205.4
2026-04-08 21:47:26.861924686,Headphones,Accessories,East,5,13413.18,5097.01
2026-04-09 15:51:57.991631799,Keyboard,Accessories,East,6,10250.9,4305.38
2026-04-10 09:56:29.121338912,Smartphone,Electronics,East,6,167143.88,23400.14
2026-04-11 04:01:00.251046025,Monitor,Electronics,West,4,43761.82,9627.6
2026-04-11 22:05:31.380753138,Mouse,Accessories,East,5,4062.7,1828.22
2026-04-12 16:10:02.510460251,Monitor,Electronics,North,5,66277.53,14581.06
2026-04-13 10:14:33.640167364,Monitor,Electronics,North,1,13321.58,2930.75
2026-04-14 04:19:04.769874477,Monitor,Electronics,East,3,38441.87,8457.21
2026-04-14 22:23:35.899581590,Mouse,Accessories,North,6,5978.05,2690.12
2026-04-15 16:28:07.029288702,Smartphone,Electronics,East,6,162506.13,22750.86
2026-04-16 10:32:38.158995816,Keyboard,Accessories,North,5,8289.99,3481.8
2026-04-17 04:37:09.288702928,Keyboard,Accessories,East,1,1785.31,749.83
2026-04-17 22:41:40.418410042,Monitor,Electronics,West,4,51040.4,11228.89
2026-04-18 16:46:11.548117154,Monitor,Electronics,South,4,49147.32,10812.41
2026-04-19 10:50:42.677824268,Laptop,Electronics,West,7,413474.91,66155.99
2026-04-20 04:55:13.807531380,Laptop,Electronics,North,6,404776.0,64764.16
2026-04-20 22:59:44.937238494,Monitor,Electronics,North,3,38370.14,8441.43
2026-04-21 17:04:16.066945606,Monitor,Electronics,South,6,78883.77,17354.43
2026-04-22 11:08:47.196652720,Monitor,Electronics,West,6,68034.84,14967.67
2026-04-23 05:13:18.326359832,Headphones,Accessories,South,4,9178.27,3487.74
2026-04-23 23:17:49.456066946,Mouse,Accessories,East,2,1988.41,894.78
2026-04-24 17:22:20.585774058,Headphones,Accessories,South,6,15826.87,6014.21
2026-04-25 11:26:51.715481172,Smartphone,Electronics,South,4,132560.83,18558.52
2026-04-26 05:31:22.845188284,Monitor,Electronics,South,5,58219.58,12808.31
2026-04-26 23:35:53.974895398,Keyboard,Accessories,West,7,13258.51,5568.57
2026-04-27 17:40:25.104602510,Mouse,Accessories,North,3,2927.15,1317.22
2026-04-28 11:44:56.234309624,Mouse,Accessories,South,5,4091.68,1841.25
2026-04-29 05:49:27.364016736,Keyboard,Accessories,East,1,1589.31,667.51
2026-04-29 23:53:58.493723850,Laptop,Electronics,South,4,280304.93,44848.79
2026-04-30 17:58:29.623430962,Smartphone,Electronics,South,7,207092.63,28992.97
2026-05-01 12:03:00.753138076,Laptop,Electronics,East,3,214583.08,34333.29
2026-05-02 06:07:31.882845188,Monitor,Electronics,North,4,53725.84,11819.68
2026-05-03 00:12:03.012552300,Laptop,Electronics,West,7,431402.8,69024.45
2026-05-03 18:16:34.142259414,Mouse,Accessories,North,1,1007.81,453.51
2026-05-04 12:21:05.271966526,Laptop,Electronics,East,5,336709.75,53873.56
2026-05-05 06:25:36.401673640,Laptop,Electronics,West,5,288261.96,46121.91
2026-05-06 00:30:07.531380752,Smartphone,Electronics,West,2,54859.52,7680.33
2026-05-06 18:34:38.661087866,Monitor,Electronics,North,6,79095.83,17401.08
2026-05-07 12:39:09.790794978,Smartphone,Electronics,North,5,133301.86,18662.26
2026-05-08 06:43:40.920502092,Laptop,Electronics,North,2,133304.87,21328.78
2026-05-09 00:48:12.050209204,Mouse,Accessories,South,6,5061.16,2277.52
2026-05-09 18:52:43.179916318,Mouse,Accessories,North,2,1930.02,868.51
2026-05-10 12:57:14.309623430,Mouse,Accessories,West,7,6711.43,3020.14
2026-05-11 07:01:45.439330544,Monitor,Electronics,West,6,64053.81,14091.84
2026-05-12 01:06:16.569037656,Headphones,Accessories,East,2,4549.91,1728.97
2026-05-12 19:10:47.698744770,Keyboard,Accessories,East,4,7424.66,3118.36
2026-05-13 13:15:18.828451882,Laptop,Electronics,West,6,357727.94,57236.47
2026-05-14 07:19:49.958158996,Monitor,Electronics,North,1,11339.79,2494.75
2026-05-15 01:24:21.087866108,Laptop,Electronics,East,5,362455.97,57992.96
2026-05-15 19:28:52.217573222,Keyboard,Accessories,North,4,7400.98,3108.41
2026-05-16 13:33:23.347280334,Laptop,Electronics,South,1,70992.67,11358.83
2026-05-17 07:37:54.476987448,Monitor,Electronics,North,3,32472.47,7143.94
2026-05-18 01:42:25.606694560,Monitor,Electronics,East,2,26764.96,5888.29
2026-05-18 19:46:56.736401674,Headphones,Accessories,West,4,10327.38,3924.4
2026-05-19 13:51:27.866108786,Mouse,Accessories,North,5,4116.74,1852.53
2026-05-20 07:55:58.995815900,Mouse,Accessories,South,4,3667.41,1650.33
2026-05-21 02:00:30.125523012,Keyboard,Accessories,South,5,9322.34,3915.38
2026-05-21 20:05:01.255230126,Mouse,Accessories,North,2,1803.61,811.62
2026-05-22 14:09:32.384937238,Monitor,Electronics,North,3,35776.82,7870.9
2026-05-23 08:14:03.514644352,Laptop,Electronics,North,7,430765.85,68922.54
2026-05-24 02:18:34.644351464,Laptop,Electronics,West,3,191625.87,30660.14
2026-05-24 20:23:05.774058578,Keyboard,Accessories,East,3,5285.71,2220.0
2026-05-25 14:27:36.903765690,Laptop,Electronics,West,3,181785.02,29085.6
2026-05-26 08:32:08.033472802,Keyboard,Accessories,South,5,7997.89,3359.11
2026-05-27 02:36:39.163179916,Smartphone,Electronics,North,3,89441.27,12521.78
2026-05-27 20:41:10.292887028,Smartphone,Electronics,East,1,30473.56,4266.3
2026-05-28 14:45:41.422594142,Keyboard,Accessories,East,5,9319.57,3914.22
2026-05-29 08:50:12.552301254,Keyboard,Accessories,South,5,9620.85,4040.76
2026-05-30 02:54:43.682008368,Headphones,Accessories,East,4,9835.4,3737.45
2026-05-30 20:59:14.811715480,Keyboard,Accessories,South,4,7222.01,3033.25
2026-05-31 15:03:45.941422594,Monitor,Electronics,North,6,78677.04,17308.95
2026-06-01 09:08:17.071129706,Mouse,Accessories,East,6,5426.28,2441.82
2026-06-02 03:12:48.200836820,Smartphone,Electronics,East,6,171984.27,24077.8
2026-06-02 21:17:19.330543932,Mouse,Accessories,South,3,2451.08,1102.98
2026-06-03 15:21:50.460251046,Laptop,Electronics,West,1,70335.09,11253.62
2026-06-04 09:26:21.589958158,Laptop,Electronics,South,1,62412.43,9985.99
2026-06-05 03:30:52.719665272,Headphones,Accessories,North,2,4776.67,1815.14
2026-06-05 21:35:23.849372384,Monitor,Electronics,North,7,90595.82,19931.08
2026-06-06 15:39:54.979079498,Monitor,Electronics,East,6,69792.68,15354.39
2026-06-07 09:44:26.108786610,Laptop,Electronics,East,2,118133.78,18901.41
2026-06-08 03:48:57.238493724,Keyboard,Accessories,North,3,5994.12,2517.53
2026-06-08 21:53:28.368200836,Mouse,Accessories,West,4,3436.67,1546.5
2026-06-09 15:57:59.497907950,Monitor,Electronics,West,5,62957.85,13850.73
2026-06-10 10:02:30.627615062,Headphones,Accessories,East,7,15445.06,5869.12
2026-06-11 04:07:01.757322176,Monitor,Electronics,South,2,24144.51,5311.79
2026-06-11 22:11:32.887029288,Laptop,Electronics,North,5,351231.73,56197.08
2026-06-12 16:16:04.016736402,Mouse,Accessories,North,7,6384.63,2873.08
2026-06-13 10:20:35.146443514,Mouse,Accessories,West,6,4935.51,2220.98
2026-06-14 04:25:06.276150628,Keyboard,Accessories,South,4,7014.37,2946.03
2026-06-14 22:29:37.405857740,Laptop,Electronics,West,6,383801.72,61408.27
2026-06-15 16:34:08.535564854,Headphones,Accessories,South,4,9161.62,3481.41
2026-06-16 10:38:39.665271966,Smartphone,Electronics,West,2,53442.95,7482.01
2026-06-17 04:43:10.794979080,Keyboard,Accessories,North,2,3420.34,1436.54
2026-06-17 22:47:41.924686192,Headphones,Accessories,East,7,17471.82,6639.29
2026-06-18 16:52:13.054393304,Laptop,Electronics,West,1,61001.21,9760.19
2026-06-19 10:56:44.184100418,Mouse,Accessories,East,6,5593.3,2516.98
2026-06-20 05:01:15.313807530,Headphones,Accessories,East,5,13288.71,5049.71
2026-06-20 23:05:46.443514644,Laptop,Electronics,South,6,393699.77,62991.96
2026-06-21 17:10:17.573221756,Mouse,Accessories,South,3,2923.22,1315.45
2026-06-22 11:14:48.702928870,Headphones,Accessories,West,4,10844.84,4121.04
2026-06-23 05:19:19.832635982,Headphones,Accessories,South,4,10982.93,4173.51
2026-06-23 23:23:50.962343096,Keyboard,Accessories,West,1,1731.14,727.08
2026-06-24 17:28:22.092050208,Keyboard,Accessories,East,4,7254.28,3046.8
2026-06-25 11:32:53.221757322,Laptop,Electronics,South,1,71510.47,11441.67
2026-06-26 05:37:24.351464434,Keyboard,Accessories,North,5,8303.41,3487.43
2026-06-26 23:41:55.481171548,Headphones,Accessories,North,3,6644.68,2524.98
2026-06-27 17:46:26.610878660,Keyboard,Accessories,South,7,12443.38,5226.22
2026-06-28 11:50:57.740585774,Smartphone,Electronics,East,1,26452.66,3703.37
2026-06-29 05:55:28.870292886,Headphones,Accessories,East,2,5243.64,1992.58
2026-06-30 00:00:00.000000000,Keyboard,Accessories,West,5,9259.97,3889.19
